Aquation of trans-[Co(en)2Cl2]+,,,,wavelength in nm,,time in minutes,,40 C,Co=6mm,H+=0.1M HNO3,,I=0.4M KNO3,,,,,,,,
wavelength,0,15,30,45,60,75,90,105,120,135,150,165,180,195,210,225,240,255,270,285
432,0.073632,0.072233,0.071592,0.070248,0.069548,0.06894,0.068128,0.067441,0.06662,0.065966,0.065165,0.06471,0.063933,0.063444,0.062817,0.062419,0.061687,0.061246,0.06056,0.060287
433,0.073216,0.071998,0.071366,0.070048,0.069312,0.068691,0.067886,0.067211,0.066418,0.065812,0.06503,0.06449,0.063963,0.063456,0.062799,0.062349,0.061707,0.061304,0.060691,0.060522
434,0.072967,0.071577,0.071207,0.069735,0.069085,0.068582,0.067716,0.067127,0.066407,0.0658,0.064967,0.064397,0.063886,0.063425,0.062762,0.062409,0.061752,0.061445,0.060941,0.060639
435,0.072643,0.071441,0.070841,0.069633,0.069039,0.06846,0.06763,0.067057,0.066264,0.065624,0.06496,0.064592,0.063942,0.063545,0.062808,0.062614,0.062037,0.06165,0.061197,0.060923
436,0.072407,0.071263,0.070778,0.069474,0.068737,0.068346,0.067562,0.06702,0.066375,0.065709,0.065045,0.064586,0.064136,0.063591,0.063117,0.062734,0.062258,0.061933,0.061414,0.061288
437,0.072254,0.071075,0.070585,0.069319,0.068622,0.06826,0.067623,0.066986,0.066381,0.065689,0.065221,0.064669,0.064259,0.0639,0.063359,0.062998,0.062635,0.062385,0.061851,0.061612
438,0.072064,0.070949,0.070447,0.069307,0.068622,0.068361,0.067624,0.067036,0.066463,0.065935,0.065354,0.064995,0.06459,0.06414,0.063643,0.063371,0.062961,0.062808,0.06229,0.062125
439,0.07201,0.070931,0.070465,0.069321,0.068691,0.068409,0.067695,0.067208,0.066722,0.066131,0.065573,0.065355,0.064881,0.064485,0.064108,0.063818,0.063461,0.063155,0.062878,0.062628
440,0.071894,0.070717,0.070405,0.069233,0.068625,0.068456,0.067837,0.067381,0.066838,0.066437,0.065782,0.065521,0.065275,0.064906,0.064492,0.064244,0.063922,0.063688,0.063438,0.063256
441,0.071666,0.070684,0.070452,0.069374,0.068743,0.068503,0.067985,0.067519,0.06696,0.066643,0.066326,0.065825,0.065663,0.065455,0.064903,0.064812,0.064473,0.064391,0.063961,0.063933
442,0.071705,0.070733,0.070517,0.069476,0.068859,0.068672,0.068227,0.067782,0.067276,0.066892,0.066455,0.066404,0.066087,0.065893,0.065565,0.065295,0.065124,0.064998,0.064663,0.064666
443,0.071739,0.070763,0.070474,0.069394,0.069027,0.068866,0.068402,0.068081,0.067666,0.067347,0.066944,0.066694,0.066577,0.066476,0.066086,0.065985,0.065754,0.065622,0.065459,0.065521
444,0.071639,0.070812,0.070518,0.069475,0.069206,0.069026,0.068589,0.068416,0.067966,0.06772,0.067433,0.067237,0.06708,0.067069,0.066771,0.066701,0.066436,0.066297,0.066223,0.066363
445,0.071569,0.070832,0.070704,0.069666,0.069375,0.069342,0.068984,0.06867,0.068342,0.068149,0.067908,0.067742,0.067669,0.06765,0.067376,0.06735,0.067294,0.067169,0.067014,0.067203
446,0.071609,0.07083,0.070699,0.069837,0.069489,0.069456,0.069184,0.068946,0.068706,0.068644,0.068283,0.068286,0.068252,0.06826,0.068038,0.068145,0.068028,0.068029,0.067867,0.068039
